cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-000292,12.738643196001988,-21.726742466375462,27.60864210070647,-5.951327823660932,-13.556567181612055,2.307261842884358,18.68997101966292,150,0.5657709937229526,1.0
ACH-002928,6.915159292707778,-17.79728986071941,48.31277823201659,-9.456299661137997,-55.716552563284054,11.416249411369646,16.371458953845774,150,1.5859168493881215,1.0
ACH-001232,18.987536470071845,18.987536470071845,18.987536470071845,4.2132414770038995,4.2132414770038995,4.2132414770038995,14.774294993067945,150,,1.0
ACH-000025,21.011432812451652,2.574163980226348,35.039513154589336,7.207939858072896,-1.2814204582059825,13.681544452512261,13.803492954378756,150,0.5441967231358977,1.0
ACH-000021,4.972803747578941,4.972803747578941,4.972803747578941,-8.57733020398045,-8.57733020398045,-8.57733020398045,13.550133951559392,150,,1.0
ACH-003191,8.163507225106807,-9.689643073181267,35.126049678303986,-3.627627245193354,-8.583918287564723,1.762955219794003,11.791134470300161,150,0.9910944739062317,1.0
ACH-002470,11.79881443002009,-25.01105523760819,43.514816867632284,1.3821344292151836,-5.865300697965074,13.434212812070024,10.416680000804908,150,1.6112005051400993,1.0
ACH-001702,9.12246276324863,9.12246276324863,9.12246276324863,-1.0920786680967345,-1.0920786680967345,-1.0920786680967345,10.214541431345364,150,,1.0
ACH-000383,10.125396024989456,10.125396024989456,10.125396024989456,0.8615121090001017,-4.115792430015647,5.83881664801585,9.263883915989354,150,3.3225934957643434e-06,0.002757752601484405
ACH-002662,22.649859078855577,-16.67020598727897,38.555641194924426,14.684145401691193,-32.746457334717405,70.8585963969467,7.965713677164384,150,1.9241744155377385,1.0
ACH-000233,10.747666279165276,-83.53197709648916,42.31829549020385,4.337050975891483,-8.371047827479428,11.286298566766744,6.410615303273794,150,1.9412281337285457,1.0
