cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000924,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017596962521327808,-0.009210119698142961,0.0017033523293029178,0.097,,
ACH-000928,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001674307566722722,-0.009601915538492833,0.0018662975368172435,0.108,,
ACH-000929,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.0054274685442098234,-0.01726510545860342,0.00046175793910489837,0.033,,
ACH-000932,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018950800538158894,-0.010459537934409364,0.0016224370341881194,0.105,,
ACH-000934,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005185291973817161,-0.01651235774500979,-9.64280461973857e-05,0.024,,
ACH-000935,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017704399809150926,-0.009897965114590653,0.002237304473040573,0.114,,
ACH-000936,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.00532534819587718,-0.018760536265376666,0.00039778590873636854,0.032,,
ACH-000937,2,150,2,150,0.013333333333333334,0.013333333333333334,0.007198683082360276,0.009230466070727653,-0.0026177243263992523,-0.01897548775493857,0.012066582322177844,0.352,,
ACH-000938,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.00526558471747515,-0.016296890959324777,0.0003502225494729291,0.03,,
ACH-000939,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005544211491273172,-0.01838859137484962,9.553712784729331e-06,0.026,,
ACH-000941,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001998824581570117,-0.01069691192192711,0.0016437262949621197,0.104,,
ACH-000943,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005442163128517955,-0.01770163309348201,-5.7955349062839366e-05,0.024,,
ACH-000945,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.00516967940205894,-0.015666993493861428,0.0004213701181645035,0.033,,
ACH-000946,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018635611412951233,-0.009308063339672944,0.0022627050590184193,0.11,,
ACH-000947,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005384026356358311,-0.017200607394544706,6.229466313859322e-05,0.027,,
ACH-000948,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016843282241255275,-0.00897690766171382,0.002396148203887908,0.124,,
ACH-000950,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017506662168447185,-0.00868280241767751,0.0019697486925433303,0.122,,
ACH-000953,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.011958825369580185,-0.027645616770537524,-0.00259919586229383,0.004,,
ACH-000956,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017868397201027848,-0.008826354517871539,0.0017050273477857165,0.116,,
ACH-000957,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017193230401858649,-0.009204200073002123,0.0019442342810815558,0.122,,
ACH-000958,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005181608499174479,-0.01607042657530434,0.0004991154125464119,0.03,,
ACH-000959,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008472527481074278,-0.02136158641060325,-0.001128537732949721,0.008,,
ACH-000961,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005419352562850311,-0.017029544114603775,-7.138287257754665e-05,0.024,,
ACH-000963,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005386237262545687,-0.016784561059400755,0.00010393811786001586,0.03,,
ACH-000965,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017304099966188645,-0.0092114579550398,0.0016676909923081437,0.1,,
ACH-000966,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005099993982143893,-0.01534497481139487,0.00016293588843276143,0.028,,
ACH-000968,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005307319160707251,-0.018508797864943166,0.0002144033375219353,0.029,,
